market_id,address,business_certificate,business_type,company_name,description,detail_address,keywords,ingredient,menu,city,phone
63581,서울특별시 동작구 동작대로27가길 6-4,,한식,이수곱창,"서울특별시 동작구에서 맛집을 찾으신다면 ""이수곱창""에 방문해보세요. 총신대입구(이수)역 근처에 있습니다. 다국어 메뉴판이 있는 매장입니다.",,,"고기구이,돼지고기,찜,맥주,볶음밥,고기구이,곱창/막창,과실주,소주,과실주,과일,주스,약주","계란,구이,막창,깔라만시,소주,백세주,대창,산사춘,청하,카스,곱창,매화수,복분자,볶음",seoul,02-593-1101
65666,서울특별시 강동구 상일로10길 36,,한식,죠스떡볶이,"무엇을 먹을지 고민되신다고요? 서울특별시 강동구에 계시다면 ""죠스떡볶이(상일동점)""를 추천합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",,,"떡볶이,만두,튀김","떡볶이,튀김,만두,치즈",seoul,02-426-1473
183057,인천광역시 미추홀구 학익소로 59,,제과류,셀렉토커피,"어디 가야 할지 고민이시라고요? 그럼 인천광역시 미추홀구 맛집, ""셀렉토커피(인천법원점)""를 추천합니다! 남녀 화장실이 구분되어 있는 매장입니다. 주차공간, 다국어 메뉴판, 그리고 무선 인터넷이 있는 매장입니다.",,,"과일,차,베이글,구이,샌드위치,차,케이크,과일,스무디,라떼,커피,프라페,에이드,돼지고기,주스","요거트,소시지,베이글,레몬,밀크티,초코,라떼,에이드,초콜릿,스무디,주스,샌드위치",incheon,032-863-5737
138143,울산광역시 동구 해수욕장1길 45,,한식,고향의봄,"""고향의봄""을 울산광역시 동구의 가 볼 만한 식당으로 추천합니다! 남녀 화장실이 구분되어 있는 매장입니다. 주차공간, 다국어 메뉴판이 있는 매장입니다.",,,"고기구이,소고기,고기구이,소고기,육회","육회,갈비,등심",ulsan,052-234-9696
85289,서울특별시 구로구 중앙로14가길 46,,중식,고척짬뽕,"""고척짬뽕""은 서울특별시 구로구에 있습니다. 다국어 메뉴판이 있는 매장입니다.",,,"짬뽕,탕수육,짜장면,볶음밥,백짬뽕,짬뽕,찌개,볶음","탕수,짜장,치즈,짬뽕,두부,새우,볶음",seoul,02-2688-8522
112495,부산광역시 사하구 하신번영로167번길 25,,한식,꿀꿀이왕국,"부산광역시 사하구에서 어디를 갈지 고민이라면! ""꿀꿀이왕국""에 가보시는 건 어떨까요?",,,"목살,야채,두부,보리,오겹살,돼지갈비,돼지항정살,음료,삼겹살","된장찌개,목살,맥주,음료수,오겹살,돼지갈비,항정살,삼겹살",busan,051-292-4405
73916,서울특별시 구로구 디지털로32길 87,,중식,손오공마라탕,"""손오공마라탕(구로디지털단지역점)""은 서울특별시 구로구에 있는 맛집으로, 가장 가까운 지하철역은 구로디지털단지역입니다. 남녀 화장실이 구분되어 있는 매장입니다. 다국어 메뉴판, 무선 인터넷이 있는 매장입니다.",,,"고기,볶음,칼국수,튀김,만두,삶은,볶음,해산물,탕","만두,마라탕,새우,꿔바로우,국수,마라샹궈",seoul,02-838-7788
98873,서울특별시 서대문구 통일로36길 5,,한식,명동찌개마을,"서울특별시 서대문구에서 가 볼 만한 식당을 찾으신다면? 홍제역 근처에 있는 ""명동찌개마을(홍제점)""을 추천합니다! 다국어 메뉴판이 있는 매장입니다.",,,"고기구이,돼지고기,찜,돼지고기,찌개,부침,해산물,곱창/막창,탕,탕,생선,탕","내장,꼬막,동태,오징어,갈비,고기,볶음",seoul,02-723-9956
790314,강원도 원주시 현석길 11-15,,한식,신골목포차,"""신골목포차""는 강원도 원주시에 있습니다. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",,,"야채,닭고기,감자,야채,오징어,오징어,땅콩,야채,소면,골뱅이,쌀,김,야채,닭모래집,황태,야채,두부,김치,두부,오징어,보리,야채,햄,소시지,산사나무열매,두부,복숭아,인삼,찹쌀,야채,김치,돼지고기,야채,꽁치,묵은지,쌀,오돌뼈,계란,소고기,야채,쌀,야채,고추,돼지고기,양파,곰장어,어묵,명태,새우,밀가루,면,돼지고기,계란,밀가루,빵가루","소면,막걸리,맥주,구이,제육볶음,닭볶음탕,장어,돈까스,노가리,오징어,산사춘,부대찌개,라면,볶음,오돌뼈,두부찌개,소고기,볶음밥,주먹밥,백세주,땅콩,새우튀김,계란말이,공기밥,찌개,먹태,황도,오징어볶음,어묵탕,김치찌개,두부김치",gangwon,033-731-8175
45790,서울특별시 송파구 석촌호수로 134,,양식,피자스쿨,"서울특별시 송파구에서 맛집을 찾으신다면 ""피자스쿨(잠실4단지점)""에 방문해보세요. 잠실새내역 근처에 있습니다. 다국어 메뉴판이 있는 매장입니다.",,,"피자,돼지고기,피자,케사디야,과일,피자,파스타,스테이크,피자,구이,닭고기,고기,피자,튀김,불고기,피자,치즈,피자","피자,구이,비프,스틱,치킨,갈릭,새우,고기,치즈",seoul,02-418-8421
