market_id,menu_name,ingredient,business_type,menu,company_name,city,address,phone,type,description
63581.0,"모듬구이(1인분/200g/2인이상),볶음밥(2인이상),대창(1인분/200g/2인이상),깔라만시,계란찜(2인이상),소주,백세주,산사춘,곱창(1인분/200g/2인이상),청하,카스,매화수,막창(1인분/200g/2인이상),복분자","고기구이,돼지고기,찜,맥주,볶음밥,고기구이,곱창/막창,과실주,소주,과실주,과일,주스,약주","한식,음료류","계란,구이,막창,깔라만시,소주,백세주,대창,산사춘,청하,카스,곱창,매화수,복분자,볶음",이수곱창,seoul,서울특별시 동작구 동작대로27가길 6-4,02-593-1101,한식,"서울특별시 동작구에서 맛집을 찾으신다면 ""이수곱창""에 방문해보세요. 총신대입구(이수)역 근처에 있습니다. 다국어 메뉴판이 있는 매장입니다."
55402.0,"막걸리,맥주,곱창전골(中),순대국,술국(中),소주,술국(小),선지해장국,수육(머릿고기/中),수육(머릿고기/小),뼈해장국,곱창전골(小),지평막걸리,선지순대국,백세주,버섯두부전골(中),콩나물순대국,빨간순대국,청하,모듬고기,특순대국,버섯두부전골(小)","고기,고기구이,곱창/막창,국,막걸리,맥주,곱창/막창,전골,국,돼지고기,전골,소주,국,고기,수육,약주","한식,음료류","술국,막걸리,맥주,전골,두부,소주,백세주,해장,청하,순대,고기",고담,gangwon,강원도 원주시 금불1길 12-1 1층,070-8809-0900,술집,"무엇을 먹을지 고민되신다고요? 강원도 원주시에 계시다면 ""고담""을 추천합니다!"
65666.0,"죠스떡볶이,모듬튀김,수제튀김,치즈떡볶이,빠삭촉촉만두","떡볶이,만두,튀김",한식,"떡볶이,튀김,만두,치즈",죠스떡볶이,seoul,서울특별시 강동구 상일로10길 36,02-426-1473,한식,"무엇을 먹을지 고민되신다고요? 서울특별시 강동구에 계시다면 ""죠스떡볶이(상일동점)""를 추천합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다."
117236.0,"삼겹살 600g,한우 갈비살 600g,한우 차돌박이 600g,삶아먹어도 돼지 600g,한우 등심 600g","고기구이,돼지고기,고기구이,소고기,고기구이,오코노미야키",한식,"삼겹,한우,돼지,갈비",대성정육식당,seoul,서울특별시 용산구 서빙고로95길 22,02-795-9935,한식,"2020년 03월 27일 TV조선 식객허영만의백반기행 44회, 2012년 10월 13일 Y STAR 식신로드1 99회 등 여러 방송에서 다룬 바로 그 곳! 서울특별시 용산구 인기 맛집 ""대성정육식당""을 방문해보세요! 다국어 메뉴판이 있는 매장입니다."
114791.0,"닭똥집튀김,허니버터감자튀김",튀김,"한식,패스트푸드",튀김,통닭가,seoul,서울특별시 양천구 신월로 263,02-6015-3111,한식,"""통닭가(신정네거리점)""는 서울특별시 양천구에 있는 맛집으로, 가장 가까운 지하철역은 신정네거리역입니다. 다국어 메뉴판, 무선 인터넷이 있는 매장입니다."
178047.0,"된장찌개,녹두삼계탕(여름),계란말이,맥주,막걸리,음료수,계란찜,갈치조림,대구탕,라면사리,돼지불고기백반,조기매운탕","쌀,야채,두부,야채,조기,야채,돼지고기,쌀,계란,보리,인삼,닭고기,녹두,야채,갈치,면,야채,대구,음료","한식,음료류","된장찌개,계란말이,막걸리,맥주,음료수,계란찜,백반,갈치조림,삼계탕,대구탕,라면사리,매운탕",금일옥,jeonbuk,전북특별자치도 전주시 완산구 전주객사3길 11-6,063-288-9279,한식,"""금일옥""은 전라북도 전주시에 있습니다. 레드테이블에서 온라인 예약이 가능합니다! 남녀 화장실이 구분되어 있는 매장입니다. 다국어 메뉴판, 무선 인터넷이 있는 매장입니다."
141727.0,"회덮밥,생대구탕,우럭탕,생선구이,생선초밥,대구탕,조기탕,도미탕,알탕,회정식","구이,생선,초밥,탕,덮밥,생선,생선,탕",한식,"정식,구이,초밥,우럭,도미,덮밥,조기,대구,알탕",팔도회집,seoul,서울특별시 종로구 종로31길 28,02-763-4278,한식,"서울특별시 종로구에서 가 볼 만한 식당을 찾으신다면? 종로5가역 근처에 있는 ""팔도회집""을 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다."
183057.0,"망고 스무디,곡물라떼,초콜릿라떼,과일차(레몬/유자/자몽),밀크티,그린티라떼,스트로베리 스무디,스파클링 에이드,초콜릿 프라페,리얼 착즙 주스,시그니처 흑당 라떼 오리지널/다크,요거트 프라페,쟌슨빌 소시지롤,그릴드 샌드위치,베이글(플레인/어니언),스틱파운드케익(초코/오렌지),고구마라떼,시그니처 흑당 밀크티","과일,차,베이글,구이,샌드위치,차,케이크,과일,스무디,라떼,커피,프라페,에이드,돼지고기,주스","제과류,음료류","요거트,소시지,베이글,레몬,밀크티,초코,라떼,에이드,초콜릿,스무디,주스,샌드위치",셀렉토커피,incheon,인천광역시 미추홀구 학익소로 59,032-863-5737,카페,"어디 가야 할지 고민이시라고요? 그럼 인천광역시 미추홀구 맛집, ""셀렉토커피(인천법원점)""를 추천합니다! 남녀 화장실이 구분되어 있는 매장입니다. 주차공간, 다국어 메뉴판, 그리고 무선 인터넷이 있는 매장입니다."
145428.0,"불고기,백숙","백숙,불고기,소고기",한식,"백숙,고기",율리양어장가든,ulsan,울산광역시 울주군 청량읍 상보두현길 68,052-249-9990,한식,"""율리양어장가든""은 울산광역시 울주군에 있습니다. 주차공간, 다국어 메뉴판이 있는 매장입니다."
138143.0,"육회200g,갈비살100g,육회100g,꽃갈비살100g,꽃등심100g","고기구이,소고기,고기구이,소고기,육회",한식,"육회,갈비,등심",고향의봄,ulsan,울산광역시 동구 해수욕장1길 45,052-234-9696,한식,"""고향의봄""을 울산광역시 동구의 가 볼 만한 식당으로 추천합니다! 남녀 화장실이 구분되어 있는 매장입니다. 주차공간, 다국어 메뉴판이 있는 매장입니다."
